1,7,1,8,2,5,7
10,37,0,37,0,37,37
11,6,0,6,0,0,0
12,6,0,6,0,6,6
13,0,1,1,0,6,6
14,0,0,0,0,0,0
15,56,0,56,1,360,361
16,9,0,9,1,136,137
17,30,3,33,0,0,0
18,28,0,28,0,27,27
19,0,0,0,0,0,0
2,0,0,0,0,0,0
20,16,0,16,0,16,16
21,15,0,15,0,15,15
22,27,4,31,1,1,2
23,23,0,23,1,1,2
24,3,0,3,0,3,3
25,15,0,15,0,15,15
26,116,0,116,0,0,0
27,47,0,47,0,114,114
28,58,0,58,18,55,73
29,13,0,13,1,1,2
3,9,0,9,0,9,9
30,28,5,33,41,39,80
31,16,4,20,23,32,55
32,96,0,96,2,2,4
33,6,0,6,0,6,6
34,259,230,489,0,0,0
35,1,1,2,4,4,8
36,1,0,1,0,3,3
37,1,1,2,0,0,0
38,11,1,12,3,3,6
39,4,0,4,2,2,4
4,67,0,67,1,644,645
40,108,0,108,144,555,699
41,34,35,69,2,2,4
42,151,0,151,1,1080,1081
43,11,0,11,6,5,11
44,2,7,9,1,1,2
45,28,5,33,1,22,23
46,115,1,116,2,2,4
47,28,5,33,1,22,23
48,25,0,25,0,25,25
49,23,0,23,1,1,2
5,49,0,49,0,49,49
50,10,1,11,1,1,2
51,19,0,19,0,19,19
52,25,0,25,0,88,88
53,8,0,8,0,8,8
54,4,0,4,0,4,4
55,1,0,1,0,28,28
56,3,0,3,1,1,2
57,1,4,5,0,3,3
58,8,0,8,1,69,70
59,13,0,13,0,12,12
6,52,0,52,18,10,28
60,81,21,102,33,79,112
61,54,0,54,1,1,2
62,3,3,6,1,1,2
63,58,0,58,0,57,57
64,96,0,96,1,1,2
65,44,0,44,0,44,44
66,44,0,44,0,44,44
67,4,0,4,2,2,4
68,81,21,102,33,79,112
69,5,0,5,0,45,45
7,8,0,8,1,5,6
70,3,0,3,1,1,2
8,49,28,77,449,226,675
9,21,5,26,13,141,154
