// NONE might be a better option moving forward in the case of callable,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//perhaps not really necessary...
// todo : what else to do here?,src/main/java/org/hibernate/bytecode/cglib/ProxyFactoryFactoryImpl.java,d8d6d82e3,82d2ef4b1
//TODO: disable batch loading if lockMode > READ?
// todo : what else to do here?,src/main/java/org/hibernate/bytecode/cglib/ProxyFactoryFactoryImpl.java,d8d6d82e3,82d2ef4b1
//TODO: to handle concurrent writes correctly,src/main/java/org/hibernate/cache/UpdateTimestampsCache.java,d8d6d82e3,4aa9cbe5b
//TODO: to handle concurrent writes correctly,src/main/java/org/hibernate/cache/UpdateTimestampsCache.java,d8d6d82e3,ccd23dbd3
// gets a chance to see all hibernate.c3p0.*
//note there is a wierd implementation in the client side
// this should be refactored to instead expose a method to assemble a EntityEntry based on this
// Do we need to drop constraints before dropping tables in this dialect?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,87e3f0fd2
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiMultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiSharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/MultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/SharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
// Does this dialect support check constraints?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
// this is called by SessionFactory irregardless
// Does this dialect support the UNIQUE column syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,49c8a8e4f
// this is done here 'cos we might only know the type here (ugly!),src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// this is done here 'cos we might only know the type here (ugly!),src/main/java/org/hibernate/metamodel/source/hbm/AbstractEntityBinder.java,819f8da9e,594f689d9
// Does this dialect support the FOR UPDATE syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
// todo : what is the implication of this?,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// todo : YUCK!!!,src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java,8a5415d36,66ce8b7fb
// todo : YUCK!!!,src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java,d8d6d82e3,66ce8b7fb
// Does this dialect support FOR UPDATE OF,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
//TODO: really bad,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//TODO: is it kosher to do it here?
//TODO: better to degrade to lazy="false" if uninstrumented,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// Does this dialect support the Oracle-style FOR UPDATE NOWAIT syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiMultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiSharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/MultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/SharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
//Icky workaround for MySQL bug:,src/main/java/org/hibernate/cfg/Configuration.java,d8d6d82e3,377c30007
// we have to set up the table later!! yuck,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//TODO: Somehow add the newly created foreign keys to the internal collection,src/main/java/org/hibernate/cfg/Configuration.java,d8d6d82e3,9caca0ce3
// This inner class implements a case statement....perhaps im being a bit over-clever here,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//TODO: merge into one method!
// TODO: this is a bit of copy/paste from IndexedCollection.createPrimaryKey(),src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// TODO: what type?
//TODO: inefficient,src/main/java/org/hibernate/persister/walking/spi/AssociationKey.java,a102bf2c3,18079f346
//FIXME: get the PersistentClass
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/DistinctRootEntityResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/PassThroughResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/RootEntityResultTransformer.java,1851bffce,a6ca833e2
//TODO: this is too conservative
//TODO: redesign how PropertyAccessors are acquired...,src/main/java/org/hibernate/tuple/entity/AbstractEntityTuplizer.java,8a5415d36,66ce8b7fb
//TODO: redesign how PropertyAccessors are acquired...,src/main/java/org/hibernate/tuple/entity/AbstractEntityTuplizer.java,d8d6d82e3,66ce8b7fb
// TODO : not so sure this is needed...
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/DistinctRootEntityResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/PassThroughResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/RootEntityResultTransformer.java,1851bffce,a6ca833e2
//create an index on the key columns??
/* TODO: joinKeyColumnName & foreignKeyColumnName should be called either here or at a,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//TODO: improve this hack!,src/main/java/org/hibernate/mapping/UniqueKey.java,d8d6d82e3,f4c36a10f
//TODO: improve this hack!,src/main/java/org/hibernate/metamodel/relational/UniqueKey.java,53e1a37ad,f4c36a10f
cos it depends upon ordering of mapping doc,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//use of trim() here is ugly?,src/main/java/org/hibernate/loader/Loader.java,d8d6d82e3,c46daa4cf
//TODO: ideally we need the construction of PropertyAccessor to take the following:,src/main/java/org/hibernate/property/PropertyAccessorFactory.java,d8d6d82e3,9e063ffa2
// can happen because of the multiple ways Cache.remove()
//ick!,commons-annotations/src/main/java/org/hibernate/annotations/common/util/StringHelper.java,82e5fa8c7,59ec451c2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/DistinctRootEntityResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/PassThroughResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/RootEntityResultTransformer.java,1851bffce,a6ca833e2
// TODO: this is very suboptimal for some subclasses (namely components)
//TODO: should this be Session.instantiate(Persister
//TODO: suck this into initLaziness!,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/DistinctRootEntityResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/PassThroughResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/RootEntityResultTransformer.java,1851bffce,a6ca833e2
// 'hibernate.temp.use_jdbc_metadata_defaults' is a temporary magic value,src/main/java/org/hibernate/cfg/SettingsFactory.java,d8d6d82e3,91d444423
//TODO: is this right??,src/main/java/org/hibernate/type/AnyType.java,d8d6d82e3,dc7cdf9d8
//ie. the subquery! yuck!
//use of a stringbuffer to workaround a JDK bug
//TODO: copy/paste from recreate(),src/main/java/org/hibernate/persister/collection/AbstractCollectionPersister.java,d8d6d82e3,129c0f134
for backward compatibility of sets with no
// todo : this eventually needs to be removed
// todo : remove,src/main/java/org/hibernate/metamodel/source/internal/MetadataImpl.java,baeb6dc40,66ce8b7fb
// todo : remove,src/main/java/org/hibernate/loader/plan/spi/EntityFetch.java,dc7cdf9d8,8e2f2a9da
// todo : remove,src/main/java/org/hibernate/engine/TransactionHelper.java,d8d6d82e3,21cc90fbf
//just to help out during the load (ugly
// hack/workaround as sqlquery impl depend on having a key.,src/main/java/org/hibernate/cfg/ResultSetMappingBinder.java,d8d6d82e3,9caca0ce3
//TODO: handle the case of a foreign key to something other than the pk
//TODO: assumes all collections disassemble to an array!
// todo : would love to have this work on a notification basis
// TODO: is it really neceassry to provide Configuration to CollectionPersisters ?,src/main/java/org/hibernate/persister/spi/PersisterFactory.java,ddfcc44d7,996d56773
// TODO: is it really neceassry to provide Configuration to CollectionPersisters ?,src/main/java/org/hibernate/persister/PersisterFactory.java,d8d6d82e3,ddfcc44d7
//TODO: deprecated,src/main/java/org/hibernate/mapping/Column.java,d8d6d82e3,d7cc102b0
//TODO possibly relax that
come up with a better way to check this (plus see above comment)
//use a degenerated strategy for backward compatibility
//TODO: this is temporary in that the end result will probably not take a Property reference per-se.,src/main/java/org/hibernate/property/PropertyAccessorFactory.java,1d26ac1e1,9e063ffa2
//TODO: this is temporary in that the end result will probably not take a Property reference per-se.,src/main/java/org/hibernate/property/PropertyAccessorFactory.java,d8d6d82e3,9e063ffa2
//TODO: this is temporary in that the end result will probably not take a Property reference per-se.,src/main/java/org/hibernate/property/PropertyAccessorFactory.java,1d26ac1e1,66ce8b7fb
//TODO: this is temporary in that the end result will probably not take a Property reference per-se.,src/main/java/org/hibernate/property/PropertyAccessorFactory.java,d8d6d82e3,66ce8b7fb
// todo : better to handle dynamic filters through implicit DynamicFilterParameterSpecification,src/main/java/org/hibernate/loader/hql/QueryLoader.java,d8d6d82e3,6cabc326b
// get the right object from the list ... would it be easier to just call getEntity() ??,src/main/java/org/hibernate/loader/entity/BatchingEntityLoader.java,d8d6d82e3,06b0faaf5
// TODO: should "record" how many properties we have reffered to - and if we
//TODO: this dependency is kinda Bad
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/BetweenExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/IdentifierEqExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/IlikeExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/NotNullExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/NullExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/PropertyExpression.java,d8d6d82e3,8c28ba846
// why does this matter?,src/main/java/org/hibernate/loader/internal/AbstractLoadQueryImpl.java,b3791bc3c,8e2f2a9da
to account for newly saved entities in query
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/BetweenExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/IdentifierEqExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/IlikeExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/NotNullExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/NullExpression.java,d8d6d82e3,8c28ba846
//TODO: get SQL rendering out of this package!,src/main/java/org/hibernate/criterion/PropertyExpression.java,d8d6d82e3,8c28ba846
//TODO: can we *always* use the "null property" approach for everything?
// does this need holdlock also? : return tableName + " with (updlock
//TODO: or we could do this polymorphically
// todo : remove this and just have subclasses use Isolater/IsolatedWork directly...,src/main/java/org/hibernate/engine/TransactionHelper.java,d8d6d82e3,08d9fe211
at least needed this dropped after use
// is it necessary to register %exact since it can only appear in a where clause?
// Does this dialect support the ALTER TABLE syntax?
// TODO: shift it into unsaved-value strategy
//TODO: reenable if we also fix the above todo
// orphans should not be deleted during copy??,src/main/java/org/hibernate/engine/CascadingAction.java,d8d6d82e3,3402ba3a6
// orphans should not be deleted during merge??
//TODO: suck this logic into the collection!
// todo : we can actually just determine this from the incoming EntityEntry-s
//TODO: this bit actually has to be called after all cascades!
// this class has no proxies (so do a shortcut),src/main/java/org/hibernate/event/internal/DefaultResolveNaturalIdEventListener.java,eecee618c,f74c5a7fa
//TODO: Should this be an InitializeEntityEventListener??? (watch out for performance!)
// todo : need map? the prob is a proper key
//TODO: better to pass the id in as an argument?
//do we even really need this? the update will fail anyway....
//TODO: would it be better to do a refresh from db?
* This form used from annotations (?). Essentially the same as the above using a
//TODO: ugly here:
//TODO: not quite sure about the full implications of this!
// this only works because collection entries are kept in a sequenced
// todo : i'd much rather have this done from #endLoadingCollection(CollectionPersister
// NOTE : here we cleanup the load context when we have no more local
// todo : add the notion of enabled filters to the CacheKey to differentiate filtered collections from non-filtered
//TODO: reuse the PostLoadEvent...,src/main/java/org/hibernate/event/internal/DefaultResolveNaturalIdEventListener.java,eecee618c,f74c5a7fa
// todo : should we check the current isolation mode explicitly?
//TODO: or an array!! we can't lock objects with arrays now??
// TODO: iteratively get transient entities and retry merge until one of the following conditions:
// this will also (inefficiently) handle arrays
// TODO : perhaps we should additionally require that the incoming entity
* TODO: This will need to be refactored at some point.
// TODO : most of below was taken verbatim from DotNode
// todo : currently expects that the individual with expressions apply to the same sql table join,src/main/java/org/hibernate/hql/ast/HqlSqlWalker.java,d8d6d82e3,a9b1425f3
// No explicit select expression
// TODO : better way?!?
// Attempt to work around "ghost" ImpliedFromElements that occasionally
// Not possible to simply re-use the versionPropertyNode here as it causes
// TODO: Downcast to avoid using an interface? Yuck.
// at some point the generate phase needs to be moved out of here
//TODO:this is only needed during compilation .. can we eliminate the instvar?
// TODO : absolutely no usages of this constructor form
//TODO: is this a bit ugly?
if only properties mapped to the "base table" are referenced
// TODO : remove these last two as batcher is no longer managing connections,src/main/java/org/hibernate/jdbc/Batcher.java,d8d6d82e3,97fef96b9
// VERY IMPORTANT!!!! - This class needs to be free of any static references,src/main/java/org/hibernate/intercept/FieldInterceptionHelper.java,d8d6d82e3,19791a6c7
// TODO : we really need to be able to deal with component paths here also
// TODO : an optimization here would be to consider cascade deletes and not gen those delete statements
//TODO: switch statements are always evil! We already had bugs because
// really there are two situations where it should be ok to allow the insertion
// implicit joins are always(?) ok to reuse,src/main/java/org/hibernate/hql/internal/ast/tree/DotNode.java,a0663f0d6,153c4e32e
//TODO: used to be exprNoParens! was this needed?
// TODO : we may also want to check that the types here map to exactly one column/JDBC-type
// we do not know either type
// TODO: get SQL rendering out of here
// We would probably refactor to have LogicParser (builds a tree of simple
// short-circuit for performance...,src/main/java/org/hibernate/impl/AbstractQueryImpl.java,0013a90d2,d1515a291
// not absolutely necessary
// try block is a hack around fact that currently tuplizers are not
//TODO: this is one of the ugliest and most fragile pieces of code in Hibernate....
//TODO: implement functionality
//yuck!,src/main/java/org/hibernate/criterion/Example.java,d8d6d82e3,8c28ba846
the incoming property could not be found so we
//TODO: make this a bit nicer
// yuck!
// todo : potentially look at optimizing these two arrays,src/main/java/org/hibernate/engine/internal/MutableEntityEntry.java,5c4dacb83,3e5a8b660
//note that i parameter is now unused (delete it?)
// TODO: Figure out a better way to get the FROM elements in a proper tree structure
// todo : remove,src/main/java/org/hibernate/metamodel/source/internal/MetadataImpl.java,baeb6dc40,66ce8b7fb
// todo : remove,src/main/java/org/hibernate/loader/plan/spi/EntityFetch.java,dc7cdf9d8,8e2f2a9da
// todo : remove,src/main/java/org/hibernate/engine/TransactionHelper.java,d8d6d82e3,21cc90fbf
// We should reengineer this class so that
// todo : should this get moved to PersistentContext?
// TODO: something much better - look at the type of the other expression!
//TODO: this class does too many things! we need a different
//TODO: optimize this better!
//TODO: should we allow suffixes on these ?
//TODO: is this really necessary????
// TODO : not sure the best way to handle this
//TODO: is there a better way?
//The class is now way to complex!
// TODO : would be really nice to cache the spec on the query-def so as to not have to re-calc the hash,src/main/java/org/hibernate/internal/NamedQueryRepository.java,7d99ca57f,87e3f0fd2
//name from a super query (a bit inelegant that it shows up here)
// used to count the nesting of parentheses
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/DistinctRootEntityResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/PassThroughResultTransformer.java,1851bffce,a6ca833e2
// todo : we can remove this once the deprecated ctor can be made private...,core/src/main/java/org/hibernate/transform/RootEntityResultTransformer.java,1851bffce,a6ca833e2
//put() has nowait semantics
// ugly hack for cases like "elements(foo.bar.collection)"
// FIXME Hacky workaround to JBCACHE-1202,cache-jbosscache2/src/main/java/org/hibernate/cache/jbc2/BasicRegionAdapter.java,161e5cc19,834be2837
//TODO: COPY/PASTE FROM SessionImpl
// todo : need to find a clean way to handle the "event source" role
//Must be done here because of side-effect! yuck...
//We should actually rework this class to not implement Parser
// TODO : should remove this exposure,src/main/java/org/hibernate/impl/SessionImpl.java,d8d6d82e3,b006a6c3c
// we may be screwed here since the collection action is about to execute
// TODO : is there a way to tell whether a persister is truly discrim-column based inheritence?
//work around a bug in all known connection pools....,src/main/java/org/hibernate/jdbc/AbstractBatcher.java,a9b1425f3,3712e1ad7
//work around a bug in all known connection pools....,src/main/java/org/hibernate/jdbc/AbstractBatcher.java,d8d6d82e3,3712e1ad7
//work around a bug in all known connection pools....,src/main/java/org/hibernate/jdbc/AbstractBatcher.java,d8d6d82e3,b006a6c3c
//TODO: reuse the PreLoadEvent
// Need a better way to define the suffixes here...
//workaround for WebLogic
//TODO: temporary
// TODO : YUCK!!! fix after HHH-1907 is complete,src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java,8a5415d36,87e3f0fd2
// TODO : YUCK!!! fix after HHH-1907 is complete,src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java,8a5415d36,66ce8b7fb
// would be great to move all this below here into another method that could also be used
//TODO: the i==entitySpan-1 bit depends upon subclass implementation (very bad)
complex stuff here
//TODO: add a CriteriaImplementor interface
// polymorphism not really handled completely correctly,src/main/java/org/hibernate/loader/plan/exec/process/internal/EntityReferenceReader.java,dc7cdf9d8,8e2f2a9da
// NONE might be a better option moving forward in the case of callable,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//perhaps not really necessary...
// todo : what else to do here?,src/main/java/org/hibernate/bytecode/cglib/ProxyFactoryFactoryImpl.java,d8d6d82e3,82d2ef4b1
//TODO: disable batch loading if lockMode > READ?
// todo : what else to do here?,src/main/java/org/hibernate/bytecode/cglib/ProxyFactoryFactoryImpl.java,d8d6d82e3,82d2ef4b1
//TODO: to handle concurrent writes correctly,src/main/java/org/hibernate/cache/UpdateTimestampsCache.java,d8d6d82e3,4aa9cbe5b
//TODO: to handle concurrent writes correctly,src/main/java/org/hibernate/cache/UpdateTimestampsCache.java,d8d6d82e3,ccd23dbd3
// gets a chance to see all hibernate.c3p0.*
//note there is a wierd implementation in the client side
// this should be refactored to instead expose a method to assemble a EntityEntry based on this
// Do we need to drop constraints before dropping tables in this dialect?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,87e3f0fd2
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiMultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiSharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/MultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/SharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
// Does this dialect support check constraints?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
// this is called by SessionFactory irregardless
// Does this dialect support the UNIQUE column syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,49c8a8e4f
// this is done here 'cos we might only know the type here (ugly!),src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// this is done here 'cos we might only know the type here (ugly!),src/main/java/org/hibernate/metamodel/source/hbm/AbstractEntityBinder.java,819f8da9e,594f689d9
// Does this dialect support the FOR UPDATE syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
// todo : what is the implication of this?,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// todo : YUCK!!!,src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java,8a5415d36,66ce8b7fb
// todo : YUCK!!!,src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java,d8d6d82e3,66ce8b7fb
// Does this dialect support FOR UPDATE OF,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
//TODO: really bad,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//TODO: is it kosher to do it here?
//TODO: better to degrade to lazy="false" if uninstrumented,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// Does this dialect support the Oracle-style FOR UPDATE NOWAIT syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiMultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiSharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/MultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/SharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
//Icky workaround for MySQL bug:,src/main/java/org/hibernate/cfg/Configuration.java,d8d6d82e3,377c30007
// we have to set up the table later!! yuck,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//TODO: Somehow add the newly created foreign keys to the internal collection,src/main/java/org/hibernate/cfg/Configuration.java,d8d6d82e3,9caca0ce3
// This inner class implements a case statement....perhaps im being a bit over-clever here,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//TODO: merge into one method!
// TODO: this is a bit of copy/paste from IndexedCollection.createPrimaryKey(),src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// TODO: what type?
