satd-id;A;A1;B;B1;C;Ar;Br;;;A = bugs found between satd introd and fix;;;
5;0;0;0;0;=;0;0;;;A1 = total bugs found between;;;
12;1;2;1;1;=;0.500;1.000;;;B = bugs found after satd fix;;;
18;0;0;0;2;=;0;0.000;;;B1 = bugs found after;;;
21;2;3;0;1;A;0.667;0.000;;;C = which column has greater num of bugs: A, B or = if the num is the same;;;
30;1;1;0;0;A;1.000;0;;;Ar = num bugs found between / total bugs between (if != 0);;;
33;3;4;0;2;A;0.750;0.000;;;Br = num bugs found after / total bugs after;;;
34;1;2;1;1;=;0.500;1.000;;;;;;
38;0;7;0;1;=;0.000;0.000;;;A;36;;tot = 104
41;10;32;2;5;A;0.281;0.400;;;B;12;;
56;1;1;0;0;A;1.000;0;;;"""=""";62;;
58;6;6;2;2;A;1.000;1.000;;;;;;
69;1;6;1;2;=;0.167;0.500;;;; -> statements, not methods (24);;
75;0;4;0;0;=;0.000;0;;;values excluding statements:;;;
76;1;3;0;3;A;0.333;0.000;;;A;31;;
78;15;33;2;4;A;0.455;0.500;;;B;10;;
82;0;20;0;2;=;0.000;0.000;;;"""=""";55;;
84;0;1;0;0;=;0.000;0;;;;;;
87;0;7;0;5;=;0.000;0.000;;;;;;
88;0;9;0;2;=;0.000;0.000;;;;;;
99;0;3;0;0;=;0.000;0;;;;;;
100;1;3;0;2;A;0.333;0.000;;;;;;
107;7;23;2;5;A;0.304;0.400;;;;;;
117;0;1;1;3;B;0.000;0.333;;;;;;
123;0;1;0;1;=;0.000;0.000;;;;;;
124;0;70;0;3;=;0.000;0.000;;;;;;
126;1;1;1;2;=;1.000;0.500;;;;;;
136;7;82;0;3;A;0.085;0.000;;;;;;
139;0;43;0;3;=;0.000;0.000;;;;;;
140;17;60;0;3;A;0.283;0.000;;;;;;
141;6;19;10;30;B;0.316;0.300;;;;;;
158;0;16;0;3;=;0.000;0.000;;;;;;
162;0;0;0;1;=;0;0.000;;;;;;
173;1;9;1;3;=;0.111;0.333;;;;;;
174;0;3;0;2;=;0.000;0.000;;;;;;
201;0;0;0;0;=;0;0;;;;;;
202;0;0;0;0;=;0;0;;;;;;
203;0;0;0;0;=;0;0;;;;;;
204;0;2;0;0;=;0.000;0;;;;;;
205;0;3;0;0;=;0.000;0;;;;;;
206;0;2;0;0;=;0.000;0;;;;;;
207;6;8;0;1;A;0.750;0.000;;;;;;
208;0;0;1;2;B;0;0.500;;;;;;
209;5;5;2;14;A;1.000;0.143;;;;;;
210;0;13;0;2;=;0.000;0.000;;;;;;
211;2;10;3;14;=;0.100;0.071;;;;;;
212;0;3;1;6;B;0.000;0.167;;;;;;
213;1;24;0;0;A;0.042;0;;;;;;
214;1;3;0;0;A;0.333;0;;;;;;
215;0;0;0;0;=;0;0;;;;;;
216;0;2;0;0;=;0.000;0;;;;;;
217;0;3;0;22;=;0.000;0.000;;;;;;
218;1;9;0;3;A;0.111;0.000;;;;;;
219;3;4;0;0;A;0.750;0;;;;;;
220;0;2;0;2;=;0.000;0.000;;;;;;
221;1;10;0;14;A;0.100;0.000;;;;;;
222;0;29;0;0;=;0.000;0;;;;;;
223;1;1;4;21;B;1.000;0.190;;;;;;
224;0;3;1;1;B;0.000;1.000;;;;;;
225;1;1;0;0;A;1.000;0;;;;;;
226;9;12;4;5;A;0.667;0.400;;;;;;
227;2;7;0;1;A;0.286;0.000;;;;;;
228;0;4;1;1;B;0.000;1.000;;;;;;
229;1;1;0;0;A;1.000;0;;;;;;
230;2;7;0;1;A;0.286;0.000;;;;;;
231;0;1;0;0;=;0.000;0;;;;;;
232;2;3;0;1;A;0.667;0.000;;;;;;
233;0;0;1;10;B;0;0.100;;;;;;
234;1;21;1;16;=;0.048;0.063;;;;;;
235;0;1;0;0;=;0.000;0;;;;;;
236;0;0;0;0;=;0;0;;;;;;
237;0;0;0;0;=;0;0;;;;;;
238;2;5;0;0;A;0.400;0;;;;;;
239;0;0;4;19;B;0;0.211;;;;;;
240;1;8;2;6;B;0.125;0.333;;;;;;
241;0;0;0;14;=;0;0.000;;;;;;
242;0;0;0;0;=;0;0;;;;;;
243;1;3;0;0;A;0.333;0;;;;;;
244;0;4;0;0;=;0.000;0;;;;;;
245;0;0;0;0;=;0;0;;;;;;
246;0;5;0;0;=;0.000;0;;;;;;
247;6;13;0;0;A;0.462;0;;;;;;
248;0;0;0;0;=;0;0;;;;;;
249;0;0;0;16;=;0;0.000;;;;;;
250;0;0;0;2;=;0;0.000;;;;;;
251;1;32;2;9;B;0.031;0.222;;;;;;
252;0;0;0;0;=;0;0;;;;;;
253;0;0;4;9;=;0;0.000;;;;;;
254;2;14;1;6;A;0.143;0.167;;;;;;
255;5;24;0;0;A;0.167;0;;;;;;
256;1;9;0;0;A;0.111;0;;;;;;
257;4;24;0;0;A;0.125;0;;;;;;
258;3;8;1;6;A;0.375;0.167;;;;;;
259;0;0;0;0;=;0;0;;;;;;
260;1;1;0;0;A;1.000;0;;;;;;
261;0;0;0;0;=;0;0;;;;;;
262;0;0;0;0;=;0;0;;;;;;
263;0;0;0;16;=;0;0.000;;;;;;
264;2;3;0;1;A;0.667;0.000;;;;;;
265;0;2;0;2;=;0.000;0.000;;;;;;
266;0;2;0;21;=;0.000;0.000;;;;;;
267;0;0;0;0;=;0;0;;;;;;
268;1;3;0;3;A;0.333;0.000;;;;;;
269;0;0;1;10;B;0;0.100;;;;;;
270;2;4;0;14;A;0.250;0.000;;;;;;