=,0,0
=,0.500,1.000
=,0,0.000
A,0.667,0.000
A,1.000,0
A,0.750,0.000
=,0.500,1.000
=,0.000,0.000
A,0.313,0.400
A,1.000,0
A,1.000,1.000
=,0.167,0.500
=,0.000,0
A,0.333,0.000
A,0.455,0.500
=,0.000,0.000
=,0.000,0
=,0.000,0.000
=,0.000,0.000
=,0.000,0
A,0.333,0.000
A,0.304,0.400
B,0.000,0.333
=,0.000,0.000
=,0.000,0.000
=,1.000,0.500
A,0.085,0.000
=,0.000,0.000
A,0.283,0.000
B,0.316,0.333
=,0.000,0.000
=,0,0.000
=,0.111,0.333
=,0.000,0.000
=,0,0
=,0,0
=,0,0
=,0.000,0
=,0.000,0
=,0.000,0
A,0.750,0.000
B,0,0.500
A,1.000,0.143
=,0.000,0.000
B,0.200,0.214
B,0.000,0.167
A,0.042,0
A,0.333,0
=,0,0
=,0.000,0
=,0.000,0.000
A,0.111,0.000
A,0.750,0
=,0.000,0.000
A,0.100,0.000
=,0.000,0
B,1.000,0.190
B,0.000,1.000
A,1.000,0
A,0.750,0.800
A,0.286,0.000
B,0.000,1.000
A,1.000,0
A,0.286,0.000
=,0.000,0
A,0.667,0.000
B,0,0.100
=,0.048,0.063
=,0.000,0
=,0,0
=,0,0
A,0.400,0
B,0,0.211
B,0.125,0.333
=,0,0.000
=,0,0
A,0.333,0
=,0.000,0
=,0,0
=,0.000,0
A,0.462,0
=,0,0
=,0,0.000
=,0,0.000
B,0.031,0.222
B,0,0.444
A,0.143,0.167
A,0.208,0
A,0.111,0
A,0.167,0
A,0.375,0.167
=,0,0
A,1.000,0
=,0,0
=,0,0
=,0,0.000
A,0.667,0.000
=,0.000,0.000
=,0.000,0.000
=,0,0
A,0.333,0.000
B,0,0.100
A,0.500,0.000